Entity,average_probability,high_probability,low_probability,std_dev_probability
-LSB- -RSB- China,9.16837565018555e-31,4.4378235147968574e-30,2.841734391446697e-44,1.6026146748528922e-30
-LSB- -RSB- This kind of discarded electronic trash,1.0336012288226478e-49,1.0316289208324759e-48,4.5924863990292986e-69,3.2616099812378216e-49
1983 Contest,7.048868120173073e-11,2.6633861360130026e-10,7.284839874973759e-13,9.058235866453707e-11
A European diplomatic source,3.678502438874193e-06,9.978042390807514e-06,3.467411674308775e-21,3.694085427478704e-06
A Google departure,2.2006337725224413e-07,2.162131645613037e-06,4.1017024322779486e-16,6.82444999692887e-07
A Nomad of the Time Streams,2.3139995411410022e-24,2.2317508355158002e-23,1.6227337374415518e-49,7.033140634047665e-24
A Philippine politician whose family was allegedly murdered to stop him running for governor,6.89962678240069e-28,6.642814274167566e-27,6.424645706630493e-41,2.092936668931523e-27
A Russian diver,8.666463392720232e-10,5.5835968868838225e-09,6.216441126620331e-20,1.7599789555915578e-09
A big attraction on the Thames,4.767327455146247e-13,4.029742430893191e-12,1.2607574654264042e-31,1.2659004923711026e-12
A car,0.0012926603441997607,0.0082616270140693,4.648500355796765e-11,0.0025943674700166374
A conversion rate,0.0020895493909016613,0.0159681171006548,5.625358206191975e-17,0.004999169758731544
A couple months,4.06641462722582e-05,0.0004066331681835,2.6860564838887203e-11,0.00012858840693353581
A court in Morocco on Monday,2.9819769641230596e-07,2.1062087879470066e-06,8.900317158216492e-17,6.749014006326875e-07
A culture,0.007635158721879825,0.043886326100146,9.911321395145727e-10,0.015727916721523866
A department spokesman,2.9455541751335244e-05,0.0001670413130929,1.1381483345311544e-15,5.5259712409316076e-05
A faction from within the disbanded NLD,4.884685673668085e-18,4.436517518588849e-17,5.1876373975102675e-34,1.3905924679981747e-17
A fifth strikeout,3.1740234344334996e-10,1.4264976148408695e-09,5.8944074458350465e-24,5.328269413036178e-10
A fifth synagogue,1.6938633643628996e-08,1.6931382021945632e-07,9.631599105901519e-26,5.353918801397696e-08
A friend,0.03211008666914237,0.2495424210251684,1.3669004809824672e-08,0.07737112476394455
A gigantic robot,6.714915341296695e-06,6.704279445579394e-05,3.223107845915229e-17,2.1197072659417315e-05
A group of Coptic youth,1.989157370917868e-08,1.3607343636462725e-07,1.0112012135182489e-18,4.2825405418393765e-08
A helicopter dispatched by China's transport ministry,1.9453256668553855e-16,7.142491178097914e-16,4.5974978021612984e-45,3.008761193050907e-16
A lackluster All-Star game for Pujols,1.1688860403684746e-29,1.1379246862646812e-28,5.238004582690405e-41,3.588873983182271e-29
A modern dial tone,1.029380983726257e-07,6.920847092269798e-07,3.714917156960116e-15,2.242857864055907e-07
A perfectionism,1.470731119506434e-07,9.586123176085467e-07,2.06333034593714e-15,3.183018888268138e-07
A political party registered to run in Myanmar's elections this year,2.1877392743052656e-18,1.7689167123543666e-17,7.453574248683766e-52,5.5630389614922015e-18
