Entity,average_probability,high_probability,low_probability,std_dev_probability
-LSB- -RSB- China,1.3617827290595928e-25,1.1738958912196638e-24,4.914989545764313e-30,3.689514857322934e-25
-LSB- -RSB- This kind of discarded electronic trash,6.197162184880156e-36,2.0700670354876985e-35,2.3092896802811704e-41,8.471197353505187e-36
1983 Contest,1.2629439204418915e-05,4.323740418699963e-05,1.1572008130489856e-06,1.6054756983626003e-05
A European diplomatic source,2.7789560321000304e-09,1.5559265923314652e-08,3.4390470976682497e-12,5.16195162204125e-09
A Google departure,3.809429427276641e-09,1.9817731761295683e-08,3.7993787649075545e-11,6.261646012860848e-09
A Nomad of the Time Streams,8.738412465456384e-16,8.591052639606484e-15,2.3996807769613533e-22,2.7118660448297176e-15
A Philippine politician whose family was allegedly murdered to stop him running for governor,4.6132410304406105e-33,2.684144037074925e-32,1.2529659582289799e-43,8.853731442168391e-33
A Russian diver,4.015039032962122e-05,0.0003780434090051,7.0220446561961495e-09,0.00011887742845231586
A big attraction on the Thames,1.4799178726897695e-11,9.675111346685123e-11,9.517816601326919e-18,3.133492649353322e-11
A car,0.018809402151339978,0.0988468060264233,2.261795211044512e-05,0.030914090908622183
A conversion rate,6.751120030956136e-05,0.0003433559238149,6.20628170083299e-10,0.00011982527140954902
A couple months,0.0002606698240004624,0.0014326492212713,4.955427030476093e-08,0.0004661426386244627
A court in Morocco on Monday,1.656337863098758e-13,1.6278151395465337e-12,1.560636698562729e-18,5.13776088245334e-13
A culture,0.006398284317665051,0.0261960934524441,2.083943517830998e-05,0.009290773512577368
A department spokesman,2.0017663407611016e-05,0.0001776678594699,1.593469419207537e-11,5.5511908828957306e-05
A faction from within the disbanded NLD,5.706459806150258e-17,5.676094301590443e-16,1.9272832928054609e-22,1.793883924619448e-16
A fifth strikeout,6.320645292030662e-06,2.6553298746914344e-05,2.7215224496841232e-08,8.631520261280274e-06
A fifth synagogue,1.9724579165226103e-07,1.972243880922606e-06,1.0225246364700673e-12,6.236707580339904e-07
A friend,0.07374915801478077,0.4442251416711951,1.4081010008747293e-05,0.15839620264019721
A gigantic robot,0.00016599063795313046,0.0014222350401385,1.1265035671616095e-09,0.00044590506978599433
A group of Coptic youth,4.21953923688355e-08,3.979756950991914e-07,3.650250249940904e-12,1.2507905289756048e-07
