Entity,average_probability,high_probability,low_probability,std_dev_probability
-LSB- -RSB- China,2.3027226861839965e-19,1.5529136750514138e-18,6.385610985296713e-21,4.820484225996261e-19
-LSB- -RSB- This kind of discarded electronic trash,2.780244953953792e-34,2.5560753626892398e-33,4.850697112211669e-37,8.015156889890963e-34
1983 Contest,1.4917642265940345e-09,1.0446292221471978e-08,5.857097592561753e-12,3.20772922001018e-09
A European diplomatic source,7.623509942497251e-10,2.8536726191356027e-09,5.122085239731393e-12,1.0632701748035753e-09
A Google departure,2.8552958287303927e-11,2.6052208176476343e-10,7.488030199252935e-14,8.158364166512615e-11
A Nomad of the Time Streams,1.2244104068751987e-13,9.487609658829908e-13,2.385092516574002e-19,2.983347385912209e-13
A Philippine politician whose family was allegedly murdered to stop him running for governor,2.248071433729363e-26,1.783335990083701e-25,1.185774468575572e-29,5.596979396882507e-26
A Russian diver,1.644132070851383e-07,6.468042847075653e-07,8.644176020400137e-10,2.4967473528497763e-07
A big attraction on the Thames,1.0736811591334094e-13,5.237550153503614e-13,1.4152029179585738e-17,1.8413004930062376e-13
A car,0.0006694229843207168,0.0027387068269226,1.4680996910656227e-05,0.0008421163414426859
A conversion rate,5.4962481415693625e-05,0.0003518502162705,1.7037849305932945e-07,0.00011620402829748752
A couple months,2.0253051875971203e-07,1.9017833559984613e-06,2.962235505536583e-10,5.974170999520638e-07
A court in Morocco on Monday,3.776920701493085e-14,2.684723263194155e-13,1.345850207923048e-17,8.434102010293334e-14
A culture,3.338098515018747e-05,0.000118674091331,5.335366919686273e-07,4.06071526090071e-05
A department spokesman,2.9256700353851955e-11,1.9261139520493687e-10,4.843011433509607e-14,5.959480417238824e-11
A faction from within the disbanded NLD,1.5496098180739036e-15,1.38416384791774e-14,1.2322823258592856e-24,4.341999517865259e-15
A fifth strikeout,2.183497591672332e-09,1.22818525301895e-08,2.1667997625878583e-12,3.782365592017697e-09
A fifth synagogue,3.810262252620383e-12,3.595036209298904e-11,2.4408614793901642e-14,1.1297157561886448e-11
A friend,0.0063276128391188706,0.030314832381066,1.5592023643406605e-05,0.008938207105056462
A gigantic robot,4.5561017269612283e-07,3.689754557568471e-06,7.99183941307276e-11,1.1555264040421025e-06
A group of Coptic youth,6.222395997975474e-09,3.1181046757032124e-08,7.497184894235625e-18,9.87414786559756e-09
A helicopter dispatched by China's transport ministry,2.146920960546443e-17,1.88088740311785e-16,1.0882556136545872e-22,5.898078534115708e-17
A lackluster All-Star game for Pujols,5.56264391122421e-19,5.539296540547384e-18,6.543291551062799e-23,1.750862868447556e-18
A modern dial tone,1.8230727020631362e-11,8.617117476749288e-11,5.820687473277165e-13,2.6207183185627057e-11
A perfectionism,3.615381422318399e-06,3.169847916418419e-05,2.769043580955198e-10,9.904349357515975e-06
A political party registered to run in Myanmar's elections this year,1.759827279420179e-16,1.7594881443181613e-15,7.277500420370127e-24,5.563870987769886e-16
A prosecutor,0.00032295481226475635,0.0007337550379401,3.304719020705369e-05,0.00026299193181873737
A second Jordanian official,1.674235860096222e-11,1.4337841015620368e-10,1.595585484368667e-15,4.4702247107520396e-11
A six-month-old girl,2.9310202717893666e-10,2.001915724174904e-09,1.0268074369836516e-13,6.595716701096277e-10
A sixth person,3.154064412953336e-08,2.2187863090365785e-07,6.778176064395809e-12,6.966851952746644e-08
"A spokesman for Gulf Canada, which is controlled by Toronto's Reichmann family",8.81997402252532e-31,4.0907747577442326e-30,6.001315294823887e-33,1.4285827706494903e-30
A team of US Air Force experts,6.787896203722544e-09,3.089335184301821e-08,8.823032725144663e-16,1.086995190845431e-08
A top Iranian reformist from a banned political party,1.2254104942506822e-19,6.738982773326404e-19,1.5415783702350796e-24,2.072283305238732e-19
A year,0.002074442098104619,0.0058862643458259,4.627801326419277e-05,0.001958764641194122
AARP Insurance Plan American Association,7.811128918477109e-14,4.922088348219977e-13,3.7222229918340413e-19,1.624201904228458e-13
ABC Family,0.02483726442019608,0.1460225327708784,4.363853208302123e-05,0.046015012952747764
ABC's John Martin,5.427110805590141e-14,2.403007892141987e-13,1.692202857613261e-16,8.089712214053861e-14
ACC referee Ron Cherry,3.5780799343158415e-17,1.6042380365500663e-16,8.39977401310651e-20,5.377101631403307e-17
ACT headquarters,2.0722485642014546e-11,8.785063974741318e-11,2.4853768123209096e-12,2.684073267631661e-11
ARM architecture and List of ARM microprocessor cores,3.196817450929508e-20,2.234625653525517e-19,2.429177879471544e-24,7.031788009409307e-20
Aba Lujayn,1.3618308497428105e-18,1.1715554695634846e-17,1.2130685451579807e-20,3.6551359716606e-18
Abba-Zabas,3.955486243015944e-14,2.0439550152216585e-13,3.69475901261052e-17,6.671096979797943e-14
Abraham,0.0730157836078433,0.3911781907081604,0.0003598757029976,0.13604742239132028
Aceh governor Irwandi Yusuf,1.5448009322303423e-11,1.4671879892815546e-10,7.071380252932667e-17,4.614002841840696e-11
Additional Resources The wikipedia,4.09657960188314e-17,2.2736990458644307e-16,1.4456228030941262e-18,7.142863917030557e-17
Aden,0.017751800745953915,0.1169197987669576,5.78096659104032e-08,0.03930006331686365
Adkins,2.5355156818306735e-06,1.5090825658157668e-05,4.1117942281060765e-09,5.383150442255956e-06
Administration officials,1.2632156341937775e-07,1.0108118450776672e-06,9.09064951661533e-10,3.1258697923441845e-07
Aerosmith,0.0883145200055968,0.5526425905128463,2.1153194575296405e-05,0.16963506326464367
Aetna,0.02277579052783648,0.1974914841858644,1.35667829973992e-06,0.06170167995037986
Afghanistan,0.24340231237001714,0.6247812509536743,0.0063342046923935,0.26212170762135734
Aftershock,0.00026299623062564015,0.002580847169563,7.543005104014459e-08,0.0008145013604875759
Agatharchides,9.236769066855743e-05,0.0005729397673095,2.3426236041785163e-09,0.00018958263382204077
Ahmadinejad,0.026296654313416302,0.1269485591077498,0.0002655998162451,0.04237651670843758
Ahmose-Henuttamehu's mummy,3.696555452174507e-20,1.930027159913989e-19,1.7057837785130992e-24,6.959109499622559e-20
Aizutakada,7.696360614662541e-09,7.05452940399703e-08,7.665564231844015e-14,2.2146112850802047e-08
Al Gore,0.08233644045096959,0.3437079154858686,0.0011826694301162,0.11563917101574417
Al-Dhahabi in his Talkhis al-Mustadrak,1.612124610602195e-20,6.13897550425037e-20,5.848243534484673e-23,2.251913730564709e-20
Alan Bean,0.013515508114169886,0.1320027506667394,4.019298795149698e-07,0.04163729936847883
Alan Cohn and Bobcat Goldthwait (the latter previously worked with Brown in Medusa: Dare to Be Truthful and Shakes the Clown),6.6581896884570215e-56,6.554406196697873e-55,4.362009843761089e-62,2.069220974639271e-55
Alang,0.00028335989233896553,0.001162145566547,8.637726992985085e-11,0.0003977557383379166
Albany County Republican Chairman Joseph C. Frangella,2.7614649397585014e-23,2.298908269213469e-22,8.117905895232868e-27,7.176526044553532e-23
Albert Finney in Sidney Lumet's crime drama,6.083110945788356e-14,3.128971352340121e-13,2.92325368658318e-17,1.264762984967451e-13
Alberta Party supporters,1.2438530730669382e-11,6.334303777019544e-11,8.579178512556295e-15,2.141024831886041e-11
